Attack Points,Pred Goals,Pred Assist,Passes Received,Last 4 xG,Last 4xA
0,0,0.03,0.75,0,0.0025
0,0,0,1.5,0,0.0025
0,0,0,1.75,0,0.0025
0,0,0,0.25,0,0
0,0,0,0.75,0,0
0,0,0,1.75,0,0
0,0,0,0.75,0,0.0025
0,0,0,1.25,0,0
0,0,0,1.25,0,0
0,0,0,1.25,0,0.005
0,0,0.04,1,0,0.0025
0,0,0,1.5,0,0
1,0,0,0.5,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.02,1.5,0,0.005
0,0,0.05,1,0,0.005
0,0,0,0.25,0,0
0,0,0,0,0,0
0,0,0,0.75,0,0.0025
0,0,0.02,0.75,0,0.0025
0,0,0,0,0,0
0,0,0,1.5,0,0.0025
0,0,0,0.5,0,0
0,0,0,0.5,0,0
3,0,0,1.75,0,0
0,0,0,0.5,0,0
1,0,0,0.75,0,0
0,0,0,1,0,0
1,0,0.02,1.25,0,0.005
0,0,0.04,0.5,0,0.0025
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,2,0,0
0,0,0,0.5,0,0.005
0,0,0.01,1.5,0,0.0025
1,0,0.04,1.25,0,0.005
0,0,0,0.5,0,0
0,0,0,0.75,0,0
0,0,0,0.75,0,0.0025
0,0,0.02,0.75,0,0.0025
0,0,0,1.75,0,0.0025
0,0,0,0.5,0,0
0,0,0,0,0,0
0,0,0,2,0,0
1,0,0,0.5,0,0.0025
0,0,0,0.75,0,0
2,0,0,0.75,0,0
3,0,0.02,1,0,0.005
0,0,0.05,0.75,0,0.0025
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1.75,0,0.005
0,0,0.03,1,0,0.005
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0.0025
0,0,0,1,0,0.0025
1,0,0,0,0,0
0,0,0,2.25,0,0.0025
3,0,0,0.5,0,0
0,0,0,0.5,0,0
0,0,0,1.25,0,0
0,0,0,0.5,0,0.0025
0,0,0,1.5,0,0
0,0,0.02,0.75,0,0.005
0,0,0,1.25,0,0.0025
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1.75,0,0.0075
0,0,0.03,1,0,0.0025
0,0,0,0,0,0
0,0,0,1.25,0,0.0025
0,0,0,1.25,0,0
0,0,0,3,0,0.0075
0,0,0,1.25,0,0
0,0,0,1,0,0
0,0,0.01,0.5,0,0
0,0,0,1.5,0,0.0025
0,0,0,0.5,0,0
0,0,0,1.5,0,0.0025
0,0,0.02,1,0,0.0075
0,0,0,1.25,0,0
0,0,0,0.5,0,0
0,0,0,1.25,0,0
2,0,0,0,0,0
2,0,0,0,0,0
0,0,0,1.25,0,0.005
0,0,0.02,0.75,0,0.0025
0,0,0,1.25,0,0
0,0,0,1,0,0.0025
0,0,0,1.25,0,0
0,0,0,0,0,0
0,0,0,1.25,0,0
1,0,0,1,0,0
0,0,0.01,0.75,0,0
0,0,0,1.5,0,0.0025
0,0,0,0.5,0,0
1,0,0,0,0,0
3,0,0,1.5,0,0.0025
0,0,0.03,1.25,0,0.005
0,0,0,1.25,0,0.0025
2,0,0,0.75,0,0
0,0,0,1,0,0
0,0,0,0.75,0,0
0,0,0,1.25,0,0.0075
1,0,0,0.5,0,0.0025
0,0,0,1.5,0,0
0,0,0,1.25,0,0.0025
0,0,0,1.25,0,0
0,0,0,2.75,0,0.0025
0,0,0,1,0,0
0,0,0,1.5,0,0
0,0,0.01,1.25,0,0
0,0,0,1.5,0,0.0025
0,0,0,0.5,0,0
0,0,0,0.25,0,0
0,0,0,1.75,0,0.0025
0,0,0.02,1,0,0.0075
0,0,0,1,0,0.0025
0,0,0,0,0,0
